DISPOSITION,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,0,0,2,0,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,0,1,0,0,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Discharged/Transferred to Court/Law Enforcement,1,0,1,1,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,4,1,4,3,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,5,2,0,2,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Expired,1,1,2,1,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Left against medical advice or discontinued care,6,9,7,3,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Other,5,2,2,1,ADVENTIST HEALTH ST. HELENA #281078,Emergency Department
Discharged home with hospice care,2,1,4,1,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Discharged to a medical facility with hospice care,0,0,1,0,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Discharged to home or self care (routine discharge),4649,5048,4978,5403,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,11,11,9,4,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Discharged/Transferred to a hospital-based Medicare approved swing bed,1,2,1,0,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,15,13,22,8,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,315,305,335,327,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,1,4,2,5,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,1,0,0,0,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Discharged/Transferred to Court/Law Enforcement,67,72,90,88,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,10,10,12,15,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,8,5,2,5,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Error/Unknown,0,0,0,16,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Expired,4,3,3,6,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Left against medical advice or discontinued care,61,82,97,100,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Other,0,4,6,0,ADVENTIST HEALTH TEHACHAPI VALLEY #154168,Emergency Department
Discharged home with hospice care,1,2,0,0,ADVENTIST HEALTH TULARE #540816,Emergency Department
Discharged to home or self care (routine discharge),6934,7431,7332,7494,ADVENTIST HEALTH TULARE #540816,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,29,35,37,36,ADVENTIST HEALTH TULARE #540816,Emergency Department
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),7,3,3,3,ADVENTIST HEALTH TULARE #540816,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,5,11,22,18,ADVENTIST HEALTH TULARE #540816,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,132,133,190,174,ADVENTIST HEALTH TULARE #540816,Emergency Department
Discharged/Transferred to a Short Term General Hospital for Inpatient Care with a Planned Acute Care Hospital Inpatient Readmission,1,1,0,0,ADVENTIST HEALTH TULARE #540816,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,3,1,6,3,ADVENTIST HEALTH TULARE #540816,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,0,0,1,1,ADVENTIST HEALTH TULARE #540816,Emergency Department
Discharged/Transferred to Court/Law Enforcement,75,80,69,75,ADVENTIST HEALTH TULARE #540816,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,12,17,11,28,ADVENTIST HEALTH TULARE #540816,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,56,26,44,29,ADVENTIST HEALTH TULARE #540816,Emergency Department
Error/Unknown,29,53,0,0,ADVENTIST HEALTH TULARE #540816,Emergency Department
Expired,7,12,12,15,ADVENTIST HEALTH TULARE #540816,Emergency Department
Left against medical advice or discontinued care,436,457,413,231,ADVENTIST HEALTH TULARE #540816,Emergency Department
Other,9,2,7,7,ADVENTIST HEALTH TULARE #540816,Emergency Department
Discharged home with hospice care,3,2,0,1,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Discharged to home or self care (routine discharge),6320,7025,6849,6718,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,0,0,2,1,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),0,1,0,0,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,39,45,37,48,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,135,174,160,165,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,0,0,2,1,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,62,55,90,63,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Discharged/Transferred to home under care of organized home health service organization with a Planned Acute Care Hospital Inpatient Readmission,0,1,0,0,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,21,20,14,18,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Error/Unknown,4,0,0,0,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Expired,16,5,7,6,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Left against medical advice or discontinued care,225,32,162,88,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Discharged home with hospice care,2,0,1,1,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Discharged to home or self care (routine discharge),7190,7501,7434,6965,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Discharged/Transferred to a Critical Access Hospital (CAH),6,3,4,3,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,7,8,3,2,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),2,0,1,0,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,77,82,67,69,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,179,174,182,193,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,1,3,0,0,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,0,5,2,0,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Discharged/Transferred to Court/Law Enforcement,26,37,34,33,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,3,6,7,4,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,14,11,5,5,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Expired,4,4,2,3,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Left against medical advice or discontinued care,52,44,53,34,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Other,3,0,3,1,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Discharged home with hospice care,2,1,6,2,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Discharged to home or self care (routine discharge),12443,12591,18331,19591,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,0,0,3,5,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),5,4,3,5,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Discharged/Transferred to a hospital-based Medicare approved swing bed,0,1,0,0,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),1,0,2,1,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,9,12,20,16,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,140,154,280,303,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,1,1,2,2,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,5,1,42,32,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Discharged/Transferred to Court/Law Enforcement,96,70,143,114,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Discharged/Transferred to Home or Self Care with a Planned Acute Care Hospital Inpatient Readmission,1,0,0,0,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,20,29,88,83,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,39,55,128,156,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Error/Unknown,17,0,0,60,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Expired,4,4,15,5,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Left against medical advice or discontinued care,627,742,1196,970,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Other,12,12,23,18,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Discharged to home or self care (routine discharge),6590,6141,12731,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Discharged/Transferred to a designated Cancer Center or Children's Hospital,10,7,17,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Discharged/Transferred to a facility that provides custodial or supportive care (includes Intermediate Care Facility),1,1,2,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Discharged/Transferred to a federal health care facility,1,0,1,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Discharged/Transferred to a Medicare certified long term care hospital (LTCH),2,6,8,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Discharged/Transferred to a psychiatric hospital or psychiatric distinct part unit of a hospital,24,9,33,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Discharged/Transferred to a short term general hospital for inpatient care,139,164,303,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Discharged/Transferred to a Short Term General Hospital for Inpatient Care with a Planned Acute Care Hospital Inpatient Readmission,0,1,1,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Discharged/Transferred to an inpatient rehabilitation facility (IRF) including rehabilitation distinct part unit of a hospital,0,4,4,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Discharged/Transferred to another type of health care institution not defined elsewhere in this code list,57,21,78,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Discharged/Transferred to Court/Law Enforcement,5,24,29,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Discharged/Transferred to home under care of organized home health service organization in anticipation of covered skilled care,1,37,38,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Discharged/Transferred to skilled nursing facility (SNF) with Medicare certification in anticipation of covered skilled care,27,71,98,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
