EXPECTED PAYER SOURCE,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Facility,Report
Preferred Provider Organization (PPO),1082,0,1174,1085,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Self Pay,389,485,529,423,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Veterans Affairs Plan,7,0,38,35,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Workers' Compensation Health Claim,104,126,114,117,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Other,11,15,4,3,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Other Non-federal programs,70,51,42,51,ADVENTIST HEALTH TWIN CITIES #400548,Emergency Department
Automobile Medical,65,49,39,36,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
CHAMPUS (TRICARE),9,7,13,18,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Commercial Insurance Company,90,83,86,102,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Health Maintenance Organization,186,196,199,176,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,176,173,257,175,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Medicaid (Medi-Cal),4074,4235,3995,3848,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Medicare Part B,1367,1400,1484,1318,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Preferred Provider Organization (PPO),925,1000,976,966,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Self Pay,393,468,473,434,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Title V,2,6,4,4,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Veterans Affairs Plan,142,107,90,117,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Workers' Compensation Health Claim,105,108,138,91,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Other,12,20,19,5,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Other federal program,16,17,22,21,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Other Non-federal programs,4,6,3,2,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Blank/Invalid,0,3,0,0,ADVENTIST HEALTH UKIAH VALLEY #231396,Emergency Department
Automobile Medical,91,102,61,131,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
CHAMPUS (TRICARE),5,15,13,19,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Commercial Insurance Company,7,6,15,21,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Error/Unknown,0,0,14,13,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Exclusive Provider Organization (EPO),1,5,1,0,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Health Maintenance Organization,692,781,1403,1455,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,1863,1951,3336,3381,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Medicaid (Medi-Cal),8483,8465,11255,12400,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Medicare Part B,633,623,1025,1039,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Preferred Provider Organization (PPO),521,499,851,955,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Self Pay,797,877,1587,1198,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Title V,5,8,11,10,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Veterans Affairs Plan,8,12,25,3,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Workers' Compensation Health Claim,86,85,149,141,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Other,93,102,318,419,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Other federal program,26,35,71,42,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Other Non-federal programs,107,108,137,122,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Blank/Invalid,4,3,10,14,ADVENTIST HEALTH WHITE MEMORIAL #190878,Emergency Department
Automobile Medical,0,2,2,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
CHAMPUS (TRICARE),10,6,16,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Commercial Insurance Company,79,21,100,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Error/Unknown,0,7,7,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Health Maintenance Organization,0,503,503,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,621,1238,1859,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Medicaid (Medi-Cal),4425,3566,7991,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Medicare Part B,1133,503,1636,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Preferred Provider Organization (PPO),359,330,689,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Self Pay,524,631,1155,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Title V,22,9,31,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Veterans Affairs Plan,0,8,8,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Workers' Compensation Health Claim,50,47,97,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Other,0,27,27,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Other federal program,0,28,28,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Other Non-federal programs,0,18,18,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Blank/Invalid,0,6,6,,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO #190081,Emergency Department
Blue Cross/Blue Shield,400,439,466,503,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
CHAMPUS (TRICARE),11,9,12,11,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
Commercial Insurance Company,132,134,142,157,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
Exclusive Provider Organization (EPO),16,12,14,9,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
Health Maintenance Organization,262,313,295,259,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,768,806,913,853,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
Medicaid (Medi-Cal),3995,4184,4435,4431,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
Medicare Part A,1,0,0,1,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
Medicare Part B,369,390,403,451,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
Preferred Provider Organization (PPO),63,57,61,46,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
Self Pay,554,539,522,508,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
Veterans Affairs Plan,5,2,4,9,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
Workers' Compensation Health Claim,37,44,40,69,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
Other,2,8,0,0,AHMC ANAHEIM REGIONAL MEDICAL CENTER #301098,Emergency Department
Blue Cross/Blue Shield,321,315,376,334,AHMC SETON MEDICAL CENTER #410817,Emergency Department
CHAMPUS (TRICARE),12,9,9,7,AHMC SETON MEDICAL CENTER #410817,Emergency Department
Commercial Insurance Company,2005,1853,1942,1950,AHMC SETON MEDICAL CENTER #410817,Emergency Department
Medicaid (Medi-Cal),309,372,367,321,AHMC SETON MEDICAL CENTER #410817,Emergency Department
Medicare Part A,0,1,0,0,AHMC SETON MEDICAL CENTER #410817,Emergency Department
Medicare Part B,389,445,423,381,AHMC SETON MEDICAL CENTER #410817,Emergency Department
Self Pay,366,324,294,287,AHMC SETON MEDICAL CENTER #410817,Emergency Department
Workers' Compensation Health Claim,64,55,52,40,AHMC SETON MEDICAL CENTER #410817,Emergency Department
Blue Cross/Blue Shield,326,345,359,356,ALAMEDA HOSPITAL #010735,Emergency Department
CHAMPUS (TRICARE),93,83,104,104,ALAMEDA HOSPITAL #010735,Emergency Department
Commercial Insurance Company,131,121,146,136,ALAMEDA HOSPITAL #010735,Emergency Department
Health Maintenance Organization,115,119,139,96,ALAMEDA HOSPITAL #010735,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,205,200,247,256,ALAMEDA HOSPITAL #010735,Emergency Department
Medicaid (Medi-Cal),2146,2146,2163,2155,ALAMEDA HOSPITAL #010735,Emergency Department
Medicare Part A,0,0,1,1,ALAMEDA HOSPITAL #010735,Emergency Department
Medicare Part B,635,649,638,565,ALAMEDA HOSPITAL #010735,Emergency Department
Preferred Provider Organization (PPO),121,155,155,124,ALAMEDA HOSPITAL #010735,Emergency Department
Self Pay,304,302,305,282,ALAMEDA HOSPITAL #010735,Emergency Department
Title V,1,3,3,3,ALAMEDA HOSPITAL #010735,Emergency Department
Veterans Affairs Plan,0,2,0,1,ALAMEDA HOSPITAL #010735,Emergency Department
Workers' Compensation Health Claim,31,40,44,46,ALAMEDA HOSPITAL #010735,Emergency Department
Other federal program,0,1,0,0,ALAMEDA HOSPITAL #010735,Emergency Department
Other Non-federal programs,62,42,38,24,ALAMEDA HOSPITAL #010735,Emergency Department
Blank/Invalid,0,0,2,2,ALAMEDA HOSPITAL #010735,Emergency Department
CHAMPUS (TRICARE),3,3,6,6,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Emergency Department
Commercial Insurance Company,17,17,29,18,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Emergency Department
Exclusive Provider Organization (EPO),0,2,4,3,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Emergency Department
Health Maintenance Organization,401,405,386,409,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,447,520,546,494,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Emergency Department
Medicaid (Medi-Cal),2337,2416,2301,2535,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Emergency Department
Medicare Part B,366,388,355,365,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Emergency Department
Preferred Provider Organization (PPO),254,271,243,279,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Emergency Department
Self Pay,211,272,334,270,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Emergency Department
Veterans Affairs Plan,8,10,8,6,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Emergency Department
Workers' Compensation Health Claim,47,55,48,31,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Emergency Department
Other,27,14,14,19,ALHAMBRA HOSPITAL MEDICAL CENTER #190017,Emergency Department
Automobile Medical,1,0,1,0,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
Blue Cross/Blue Shield,4,4,8,8,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
CHAMPUS (TRICARE),13,21,9,12,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
Commercial Insurance Company,37,40,38,22,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
Exclusive Provider Organization (EPO),3,2,7,5,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
Health Maintenance Organization,567,541,567,323,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,571,523,604,833,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
Medicaid (Medi-Cal),3012,3279,3363,3361,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
Medicare Part B,1865,1810,1981,1810,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
Preferred Provider Organization (PPO),1016,1115,1097,1101,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
Self Pay,442,492,541,535,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
Veterans Affairs Plan,83,110,152,166,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
Workers' Compensation Health Claim,42,39,44,35,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
Other,7,5,5,2,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
Other Non-federal programs,2,3,3,1,ALTA BATES SUMMIT MEDICAL CENTER #010937,Emergency Department
Automobile Medical,0,1,0,1,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
Blue Cross/Blue Shield,6,7,5,9,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
CHAMPUS (TRICARE),19,21,21,26,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
Commercial Insurance Company,51,47,51,55,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
Exclusive Provider Organization (EPO),4,2,4,1,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
Health Maintenance Organization,624,640,622,589,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,570,550,536,591,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
Medicaid (Medi-Cal),2813,2771,2876,2803,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
Medicare Part B,1408,1464,1370,1381,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
Point of Service (POS),0,0,3,3,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
Preferred Provider Organization (PPO),2286,2224,2178,2336,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
Self Pay,475,495,453,530,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
Veterans Affairs Plan,33,46,53,51,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
Workers' Compensation Health Claim,87,71,82,53,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
Other,7,0,2,3,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
Other federal program,1,0,0,0,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
Other Non-federal programs,10,8,9,7,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS #010739,Emergency Department
Blue Cross/Blue Shield,11,9,9,18,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
CHAMPUS (TRICARE),12,9,8,11,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
Commercial Insurance Company,128,206,202,194,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
Exclusive Provider Organization (EPO),16,15,14,16,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
Health Maintenance Organization,183,241,246,263,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,142,160,190,149,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
Medicaid (Medi-Cal),1587,1725,1620,1661,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
Medicare Part B,128,97,121,117,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
Preferred Provider Organization (PPO),227,231,212,241,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
Self Pay,347,381,413,389,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
Veterans Affairs Plan,6,7,3,5,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
Workers' Compensation Health Claim,22,12,25,23,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
Other federal program,0,1,0,2,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
Other Non-federal programs,65,65,48,54,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
Blank/Invalid,32,32,2,3,ANAHEIM GLOBAL MEDICAL CENTER #301188,Emergency Department
Automobile Medical,1,0,0,1,ANTELOPE VALLEY MEDICAL CENTER #190034,Emergency Department
Blue Cross/Blue Shield,225,155,156,182,ANTELOPE VALLEY MEDICAL CENTER #190034,Emergency Department
CHAMPUS (TRICARE),180,163,180,154,ANTELOPE VALLEY MEDICAL CENTER #190034,Emergency Department
Commercial Insurance Company,151,158,202,236,ANTELOPE VALLEY MEDICAL CENTER #190034,Emergency Department
Health Maintenance Organization,2714,2681,2798,2813,ANTELOPE VALLEY MEDICAL CENTER #190034,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,2513,2626,2747,2565,ANTELOPE VALLEY MEDICAL CENTER #190034,Emergency Department
Medicaid (Medi-Cal),16197,16906,15721,16083,ANTELOPE VALLEY MEDICAL CENTER #190034,Emergency Department
Medicare Part A,8,11,7,10,ANTELOPE VALLEY MEDICAL CENTER #190034,Emergency Department
Medicare Part B,1364,1420,1355,1392,ANTELOPE VALLEY MEDICAL CENTER #190034,Emergency Department
Preferred Provider Organization (PPO),793,913,945,917,ANTELOPE VALLEY MEDICAL CENTER #190034,Emergency Department
Self Pay,716,707,869,821,ANTELOPE VALLEY MEDICAL CENTER #190034,Emergency Department
Title V,16,29,23,21,ANTELOPE VALLEY MEDICAL CENTER #190034,Emergency Department
Veterans Affairs Plan,95,108,105,94,ANTELOPE VALLEY MEDICAL CENTER #190034,Emergency Department
Workers' Compensation Health Claim,187,223,278,273,ANTELOPE VALLEY MEDICAL CENTER #190034,Emergency Department
Other,0,3,1,1,ANTELOPE VALLEY MEDICAL CENTER #190034,Emergency Department
Other federal program,66,76,89,64,ANTELOPE VALLEY MEDICAL CENTER #190034,Emergency Department
Other Non-federal programs,114,107,136,112,ANTELOPE VALLEY MEDICAL CENTER #190034,Emergency Department
Blue Cross/Blue Shield,518,534,556,509,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Emergency Department
CHAMPUS (TRICARE),27,33,38,20,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Emergency Department
Commercial Insurance Company,542,517,542,473,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,18,6,5,2,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Emergency Department
Medicaid (Medi-Cal),13375,13498,13646,13305,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Emergency Department
Medicare Part B,871,845,874,909,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Emergency Department
Preferred Provider Organization (PPO),97,73,90,84,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Emergency Department
Self Pay,1688,1962,2105,2298,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Emergency Department
Veterans Affairs Plan,18,34,22,31,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Emergency Department
Workers' Compensation Health Claim,57,47,73,43,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Emergency Department
Other,8,13,19,20,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Emergency Department
Other federal program,5,0,1,0,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Emergency Department
Other Non-federal programs,1438,1597,1449,1110,ARROWHEAD REGIONAL MEDICAL CENTER #364231,Emergency Department
Blue Cross/Blue Shield,97,100,109,122,BAKERSFIELD MEMORIAL HOSPITAL #150722,Emergency Department
CHAMPUS (TRICARE),35,49,47,49,BAKERSFIELD MEMORIAL HOSPITAL #150722,Emergency Department
Commercial Insurance Company,46,46,35,37,BAKERSFIELD MEMORIAL HOSPITAL #150722,Emergency Department
Exclusive Provider Organization (EPO),2,1,0,2,BAKERSFIELD MEMORIAL HOSPITAL #150722,Emergency Department
Health Maintenance Organization,1099,1110,1001,1016,BAKERSFIELD MEMORIAL HOSPITAL #150722,Emergency Department
Health Maintenance Organization (HMO) Medicare Risk,1390,1437,1594,1401,BAKERSFIELD MEMORIAL HOSPITAL #150722,Emergency Department
